GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,NHS Non Return Rate,"v_CA11N_2288: Number of tenant households in non-farm, non-reserve private dwellings",v_CA11N_2290: % of tenant households spending 30% or more of household total income on shelter costs,v_CA11N_2289: % of tenant households in subsidized housing,v_CA11N_2291: Median monthly shelter costs for rented dwellings ($),v_CA11N_2292: Average monthly shelter costs for rented dwellings ($),v_CA11N_2389: Median after-tax income $,v_CA11N_1996: Unemployed
24800076,DA,Mayo,75.89688,572,347,242,0.391,0,0.0,0.0,0,0,23770,30
24800084,DA,Val-des-Bois,245.48811,938,1003,469,0.48,75,50.0,0.0,600,601,21343,0
24800086,DA,Bowman,167.42591,677,527,302,0.4,35,0.0,0.0,577,497,21916,35
24810001,DA,Gatineau,0.6474,658,338,320,0.556,195,64.1,0.0,601,568,14652,25
24810002,DA,Gatineau,0.12512,374,230,209,0.386,105,50.0,0.0,550,608,28827,0
24810003,DA,Gatineau,0.3153,478,190,181,0.431,65,84.6,0.0,644,694,23731,0
24810004,DA,Gatineau,0.17762,396,167,164,0.376,50,0.0,0.0,640,619,24037,50
24810005,DA,Gatineau,0.23007,470,275,263,0.317,170,41.2,0.0,595,624,18239,0
24810006,DA,Gatineau,0.13037,476,237,229,0.345,155,56.7,0.0,754,743,20341,0
24810007,DA,Gatineau,0.44493,527,241,231,0.27,100,65.0,0.0,704,752,22976,20
24810008,DA,Gatineau,1.13802,1007,422,416,0.342,195,30.0,0.0,820,761,31064,45
24810009,DA,Gatineau,0.42225,563,244,239,0.23,145,24.1,0.0,649,694,32272,20
24810010,DA,Gatineau,0.52342,509,206,203,0.174,90,33.3,0.0,733,733,29375,0
24810011,DA,Gatineau,24.30303,461,195,180,0.249,20,0.0,0.0,1242,1119,33538,0
24810012,DA,Gatineau,3.84556,486,272,255,0.498,190,60.5,0.0,603,610,17748,120
24810013,DA,Gatineau,1.38954,648,236,225,0.413,40,0.0,0.0,703,723,30003,0
24810014,DA,Gatineau,0.17772,395,215,177,0.467,40,44.4,0.0,803,861,29053,0
24810015,DA,Gatineau,0.13272,643,265,254,0.335,120,58.3,0.0,663,746,26915,0
24810016,DA,Gatineau,0.07717,432,180,178,0.248,100,70.0,0.0,613,692,22545,0
24810017,DA,Gatineau,2.26568,664,262,260,0.314,55,0.0,0.0,583,666,25676,30
24810018,DA,Gatineau,0.25279,634,238,232,0.332,35,0.0,0.0,807,831,33676,70
24810019,DA,Gatineau,0.21965,512,201,201,0.11800000000000001,0,0.0,0.0,0,0,29094,25
24810020,DA,Gatineau,0.22016,464,190,187,0.145,55,81.8,0.0,710,775,27790,0
24810021,DA,Gatineau,0.22846,408,160,156,0.327,0,0.0,0.0,0,0,34668,0
24810022,DA,Gatineau,2.15787,771,286,284,0.23,15,0.0,0.0,703,605,25118,0
24810023,DA,Gatineau,0.78934,540,230,226,0.34,70,0.0,0.0,811,877,26846,45
24810024,DA,Gatineau,0.21431,1113,417,412,0.308,75,40.0,0.0,727,793,31808,20
24810026,DA,Gatineau,3.35516,723,322,314,0.225,80,0.0,0.0,691,705,26336,50
24810027,DA,Gatineau,0.16198,441,222,206,0.475,115,0.0,39.1,548,544,22278,0
24810028,DA,Gatineau,0.14412,411,167,163,0.366,40,0.0,0.0,682,676,30356,45
24810029,DA,Gatineau,2.39902,722,299,282,0.317,95,0.0,0.0,813,814,24357,0
24810030,DA,Gatineau,28.29913,662,280,266,0.428,70,71.4,0.0,668,673,23219,20
24810031,DA,Gatineau,0.64513,471,174,169,0.371,50,40.0,0.0,702,759,36953,20
24810032,DA,Gatineau,0.35207,1521,507,505,0.257,20,0.0,0.0,604,772,35238,35
24810033,DA,Gatineau,0.86034,1498,504,499,0.20800000000000002,75,46.7,0.0,827,890,33184,40
24810034,DA,Gatineau,0.23139,563,200,198,0.22,0,0.0,0.0,0,0,38592,0
24810035,DA,Gatineau,0.87272,660,251,245,0.218,35,42.9,0.0,873,901,21958,10
24810036,DA,Gatineau,0.31987,638,241,237,0.363,80,0.0,50.0,657,727,18571,0
24810037,DA,Gatineau,1.46526,1274,621,558,0.39799999999999996,140,28.6,0.0,703,738,31630,40
24810038,DA,Gatineau,43.64294,833,346,340,0.223,35,0.0,0.0,550,550,21843,30
24810039,DA,Gatineau,1.09332,1206,470,457,0.271,60,0.0,0.0,937,1013,35209,20
24810040,DA,Gatineau,0.17614,583,203,199,0.218,0,0.0,0.0,0,0,40447,0
24810041,DA,Gatineau,0.68176,1298,458,458,0.19899999999999998,0,0.0,0.0,0,0,37835,15
24810042,DA,Gatineau,0.2568,927,340,333,0.205,35,0.0,0.0,1049,1051,34036,25
24810043,DA,Gatineau,0.17292,728,263,261,0.13699999999999998,50,0.0,54.5,351,537,28350,0
24810044,DA,Gatineau,0.18554,625,254,245,0.254,95,0.0,0.0,740,703,34391,0
24810045,DA,Gatineau,0.09237,364,136,135,0.102,15,0.0,0.0,1216,822,26531,15
24810047,DA,Gatineau,0.29162,555,248,242,0.225,140,53.6,0.0,801,741,22916,35
24810048,DA,Gatineau,0.16094,565,232,228,0.276,45,0.0,0.0,952,940,35739,30
24810049,DA,Gatineau,0.2355,399,169,168,0.096,45,55.6,0.0,727,750,31372,0
24810050,DA,Gatineau,0.09504,398,200,193,0.344,130,38.5,11.5,659,718,20134,0
24810051,DA,Gatineau,1.38861,604,268,262,0.32799999999999996,165,24.2,0.0,803,778,32046,0
24810052,DA,Gatineau,0.23489,609,273,254,0.278,190,37.8,21.1,682,665,15993,65
24810053,DA,Gatineau,0.56171,765,375,355,0.303,210,26.8,0.0,861,817,30992,20
24810054,DA,Gatineau,0.41023,446,218,211,0.28,95,100.0,0.0,610,601,22251,0
24810055,DA,Gatineau,0.17532,552,267,262,0.402,125,24.0,0.0,737,776,32400,40
24810056,DA,Gatineau,1.86984,646,241,237,0.266,55,30.0,0.0,834,902,26036,35
24810057,DA,Gatineau,0.10973,280,111,111,0.39299999999999996,0,0.0,0.0,0,0,23030,0
24810058,DA,Gatineau,0.26812,559,278,255,0.301,105,45.0,0.0,846,820,26228,0
24810059,DA,Gatineau,0.74176,596,298,267,0.358,115,29.2,0.0,475,634,31893,30
24810060,DA,Gatineau,0.22298,529,317,302,0.509,195,52.6,15.4,651,731,15446,0
24810061,DA,Gatineau,0.12131,462,263,246,0.247,140,44.8,0.0,809,760,23037,0
24810062,DA,Gatineau,0.17177,603,249,242,0.44,155,48.4,0.0,527,581,19438,0
24810063,DA,Gatineau,0.18882,453,212,202,0.282,85,27.8,0.0,555,677,29079,30
24810065,DA,Gatineau,0.12816,458,231,214,0.47700000000000004,115,40.9,0.0,703,744,25376,0
24810066,DA,Gatineau,0.10305,434,210,206,0.379,130,26.9,0.0,661,699,21835,0
24810067,DA,Gatineau,0.10582,461,224,211,0.40299999999999997,105,27.3,0.0,781,714,24929,55
24810068,DA,Gatineau,0.16385,460,195,192,0.23800000000000002,35,0.0,0.0,730,672,31442,0
24810069,DA,Gatineau,0.14224,416,178,176,0.18100000000000002,25,0.0,0.0,1066,861,27077,10
24810070,DA,Gatineau,0.18842,602,260,259,0.23,0,0.0,0.0,0,0,36648,0
24810071,DA,Gatineau,0.25014,685,256,256,0.20800000000000002,20,0.0,0.0,528,587,32734,10
24810072,DA,Gatineau,0.24059,471,185,183,0.28,0,0.0,0.0,0,0,33886,0
24810073,DA,Gatineau,0.13171,253,114,111,0.174,25,0.0,0.0,535,707,26283,0
24810074,DA,Gatineau,0.12447,497,264,254,0.33899999999999997,140,51.9,0.0,693,682,26863,15
24810075,DA,Gatineau,0.13973,325,178,170,0.306,105,36.4,0.0,725,742,27979,0
24810076,DA,Gatineau,0.19597,492,210,208,0.281,50,50.0,0.0,722,1134,28430,0
