GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA16_4897: Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data",v_CA16_4898: % of tenant households in subsidized housing,v_CA16_4899: % of tenant households spending 30% or more of its income on shelter costs,v_CA16_4900: Median monthly shelter costs for rented dwellings ($),v_CA16_4901: Average monthly shelter costs for rented dwellings ($),v_CA16_406: Population density per square kilometre,v_CA16_2213: Median after-tax income in 2015 among recipients ($),v_CA16_5606: Unemployed
24800069,DA,Lochaber,69.77498,415,183,162,25,0.0,0.0,0,817,6.8,24832,20
24800070,DA,Thurso,2.80426,1169,498,473,130,0.0,19.2,870,832,417.0,30571,60
24800071,DA,Thurso,0.18643,411,199,186,55,0.0,0.0,674,653,2204.9,28992,0
24800072,DA,Thurso,1.52256,515,249,235,90,16.7,44.4,596,797,339.2,27936,20
24800073,DA,Thurso,0.16909,374,206,189,90,0.0,58.8,666,686,2211.7,25280,10
24800074,DA,Thurso,2.68752,349,156,145,60,0.0,58.3,602,689,218.2,25408,25
24800075,DA,Lochaber-Partie-Ouest,66.17888,856,339,324,50,0.0,36.4,850,745,14.9,32000,35
24800076,DA,Mayo,77.65254,601,403,259,35,0.0,0.0,841,710,8.2,30784,10
24800084,DA,Val-des-Bois,245.30075,865,851,452,60,0.0,27.3,593,585,3.8,24640,15
24800086,DA,Bowman,166.7465,658,546,312,40,0.0,0.0,748,789,5.1,24000,55
24810001,DA,Gatineau,0.63528,621,333,310,205,9.8,52.4,703,739,1190.6,22304,25
24810002,DA,Gatineau,0.11875,381,228,217,140,0.0,53.6,649,719,3207.1,20896,0
24810003,DA,Gatineau,0.32302,477,191,184,80,0.0,37.5,737,799,1477.2,26304,10
24810004,DA,Gatineau,0.18836,371,167,164,45,55.6,0.0,342,553,1969.2,26592,25
24810005,DA,Gatineau,0.2305,461,272,255,155,15.6,40.6,658,640,2000.0,20096,20
24810006,DA,Gatineau,0.13969,460,234,225,130,0.0,61.5,743,779,3292.8,21984,30
24810007,DA,Gatineau,0.44517,492,236,223,120,0.0,41.7,725,753,1105.1,25856,10
24810008,DA,Gatineau,1.12591,1435,675,661,290,20.7,47.5,904,953,1274.4,29269,20
24810009,DA,Gatineau,0.50488,567,281,260,140,25.0,37.0,727,763,1123.2,27136,35
24810010,DA,Gatineau,0.4366,496,205,201,50,0.0,50.0,919,987,1136.3,32192,15
24810011,DA,Gatineau,23.98966,444,190,181,30,0.0,66.7,0,802,20.4,33344,20
24810012,DA,Gatineau,3.74436,498,279,261,185,0.0,43.2,661,693,146.0,20192,15
24810013,DA,Gatineau,1.41237,631,234,228,50,0.0,0.0,928,899,552.1,32288,20
24810014,DA,Gatineau,0.18539,538,228,227,35,0.0,0.0,0,1010,2901.8,34944,20
24810015,DA,Gatineau,0.13456,627,264,258,65,0.0,30.8,780,810,4658.2,30848,25
24810016,DA,Gatineau,0.08222,385,182,172,105,0.0,28.6,793,771,4678.0,27072,20
24810017,DA,Gatineau,2.19425,608,260,259,40,0.0,0.0,853,912,277.1,33408,10
24810018,DA,Gatineau,0.25427,594,236,235,0,0.0,0.0,0,0,2335.8,36960,10
24810019,DA,Gatineau,0.22301,494,202,201,0,0.0,0.0,0,0,2215.2,34347,10
24810020,DA,Gatineau,0.17275,462,189,189,40,0.0,50.0,789,859,2675.2,36864,10
24810021,DA,Gatineau,0.24968,393,159,159,0,0.0,0.0,0,0,1573.9,33984,25
24810022,DA,Gatineau,2.21504,742,289,287,25,0.0,0.0,0,759,335.0,35136,30
24810023,DA,Gatineau,0.80324,486,220,216,70,0.0,42.9,726,782,697.4,31040,10
24810024,DA,Gatineau,0.25887,1110,415,414,70,0.0,26.7,872,860,4287.4,37024,40
24810026,DA,Gatineau,3.38101,814,358,351,105,0.0,31.8,749,830,240.8,33952,30
