GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings",v_CA21_4314: % of tenant households in subsidized housing (61),v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55),v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59),v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59),v_CA21_6: Population density per square kilometre,v_CA21_566: Median after-tax income in 2020 among recipients ($),v_CA21_6501: Unemployed
24800069,DA,24800069,62.1417,446,194,176,30,0,0,715,560,7.2,34000,35
24800070,DA,24800070,2.7835,1366,611,578,180,0,22.2,960,880,490.7,38000,85
24800071,DA,24800071,0.1864,392,206,199,80,37.5,31.3,650,620,2103,32400,15
24800072,DA,24800072,1.5226,551,272,253,110,22.7,13.6,750,690,361.9,34800,20
24800073,DA,24800073,0.1691,359,225,206,85,0,29.4,645,600,2123,33200,10
24800074,DA,24800074,1.9884,416,196,185,50,0,30,628,660,209.2,31600,30
24800075,DA,24800075,57.392,926,358,336,65,0,0,650,680,16.1,40000,30
24800076,DA,24800076,72.5092,704,395,297,35,0,0,,850,9.7,38000,20
24800084,DA,24800084,222.674,920,837,495,90,27.8,27.8,624,670,4.1,31800,55
24800085,DA,24800085,289.5161,461,476,229,20,0,0,,560,1.6,34800,10
24800086,DA,24800086,126.3993,667,546,335,30,0,0,,440,5.3,32400,30
24810001,DA,24810001,0.5208,600,347,324,205,0,34.1,750,830,1152.1,27800,10
24810002,DA,24810002,0.1188,376,225,213,145,17.2,34.5,710,730,3165,30400,45
24810003,DA,24810003,0.323,458,195,190,80,0,25,890,860,1418,31800,35
24810004,DA,24810004,0.1884,346,166,159,40,75,0,484,560,1836.5,34400,15
24810005,DA,24810005,0.2305,471,271,253,145,13.8,41.4,745,770,2043.4,29200,25
24810006,DA,24810006,0.1397,450,235,226,120,0,45.8,810,760,3221.2,31800,30
24810007,DA,24810007,0.4452,488,252,240,115,0,43.5,755,860,1096.1,32800,25
24810008,DA,24810008,1.1259,1805,866,842,395,26.6,24.4,1090,1088,1603.2,38400,50
24810009,DA,24810009,0.505,551,286,271,150,0,30,770,800,1091.1,35200,45
24810010,DA,24810010,0.4365,469,202,198,70,0,28.6,850,880,1074.5,39200,15
24810011,DA,24810011,22.0784,420,180,169,25,0,0,,1200,19,43200,15
24810012,DA,24810012,3.4805,460,286,264,170,0,35.3,710,730,132.2,26200,10
24810013,DA,24810013,1.0674,780,365,357,200,40,65,1800,1560,730.7,33600,30
24810014,DA,24810014,0.1854,507,234,230,25,0,0,,1100,2734.6,42800,10
24810015,DA,24810015,0.1346,646,264,259,55,0,0,795,960,4799.4,39200,15
24810016,DA,24810016,0.0822,387,176,169,120,0,0,850,840,4708,35200,10
24810017,DA,24810017,2.1899,875,388,376,95,0,0,1200,1220,399.6,41200,25
24810018,DA,24810018,0.2543,573,238,237,25,0,0,,680,2253.2,42400,10
24810019,DA,24810019,0.223,484,201,197,0,,,,,2170.4,37200,10
24810020,DA,24810020,0.1727,461,196,194,45,0,33.3,920,1040,2669.4,41600,10
24810021,DA,24810021,0.2497,384,160,156,25,0,0,,800,1537.8,40800,15
24810022,DA,24810022,2.215,743,290,282,40,0,0,690,760,335.4,38800,15
24810023,DA,24810023,0.6851,478,228,217,65,0,30.8,900,960,697.7,36800,25
24810024,DA,24810024,0.2589,1059,402,393,80,0,0,840,960,4090.4,43200,25
24810026,DA,24810026,3.3811,915,392,384,125,0,20,820,880,270.6,40000,20
24810027,DA,24810027,0.1718,419,206,190,90,22.2,0,544,580,2438.9,30200,10
24810028,DA,24810028,0.1386,366,166,162,60,0,0,870,920,2640.7,37200,0
24810029,DA,24810029,2.5832,681,289,278,100,0,25,800,900,263.6,37600,25
24810030,DA,24810030,18.9667,931,383,369,95,0,15.8,850,860,49.1,40400,45
24810031,DA,24810031,0.9139,812,330,317,140,0,32.1,1100,1120,888.5,44800,35
24810032,DA,24810032,0.343,1525,523,520,45,0,0,1320,1160,4446.1,45200,75
24810033,DA,24810033,0.6081,1386,503,502,75,0,0,1010,1120,2279.2,43600,50
24810034,DA,24810034,0.1923,508,197,196,10,0,0,,1400,2641.7,42000,20
24810035,DA,24810035,1.0201,743,295,287,45,0,0,930,1040,728.4,45200,25
24810036,DA,24810036,0.264,595,250,243,45,55.6,0,536,660,2253.8,40400,20
24810037,DA,24810037,1.421,1690,746,716,275,0,23.6,930,940,1189.3,39200,55
24810038,DA,24810038,42.6978,894,417,388,105,0,19,1200,1100,20.9,39200,50
24810039,DA,24810039,1.0286,1223,480,472,75,0,0,1120,1080,1189,44400,50
24810040,DA,24810040,0.1824,529,205,200,15,0,0,,1200,2900.2,44000,30
24810041,DA,24810041,0.6439,1968,712,700,155,0,9.7,1320,1320,3056.4,48400,50
24810043,DA,24810043,0.1744,636,261,254,40,50,0,552,680,3646.8,41600,30
24810044,DA,24810044,0.186,583,256,248,70,0,28.6,890,960,3134.4,40400,15
24810045,DA,24810045,0.0912,306,137,136,0,,,,,3355.3,41600,0
24810047,DA,24810047,0.2957,556,267,250,130,0,23.1,960,1000,1880.3,35200,20
24810048,DA,24810048,0.1616,543,233,229,40,0,50,1050,1200,3360.1,39200,10
24810049,DA,24810049,0.2251,361,176,169,55,0,36.4,870,960,1603.7,41600,25
24810050,DA,24810050,0.0944,454,238,226,135,22.2,18.5,715,770,4809.3,31000,30
24810051,DA,24810051,1.4098,691,339,318,180,19.4,27.8,850,795,490.1,34000,25
24810052,DA,24810052,0.2347,643,341,305,230,39.1,20,775,745,2739.7,31000,35
24810053,DA,24810053,0.5715,719,367,341,215,0,27.9,900,930,1258.1,35600,55
24810054,DA,24810054,0.3986,459,222,205,75,0,46.7,830,880,1151.5,37600,45
